h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	catalog_only_classification	delta_m_b	delta_zhel	delta_zcmb	covariance_diagonal_used_for_mapping	delta_err_m_b	covariance_assist_pass	final_candidate	final_dependency_classification
161	2014bj	602	2014bj	51	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.9597140759360947e-06		YES	CATALOG_ONLY_UNIQUE
162	2006cf	603	2006cf	64	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.1072967216781997e-06		YES	CATALOG_ONLY_UNIQUE
163	2007kk	605	2007kk	51	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	6.4061273280513475e-07		YES	CATALOG_ONLY_UNIQUE
164	2007kk	606	2007kk	65	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	9.9769380124126172e-07		YES	CATALOG_ONLY_UNIQUE
165	AT2016htm	607	AT2016htm	150	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	4.762725388476885e-06		YES	CATALOG_ONLY_UNIQUE
166	MASTERJ0134	612	MASTERJ0134	150	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	3.1598128473475651e-06		YES	CATALOG_ONLY_UNIQUE
167	ASASSN-15mg	613	ASASSN-15mg	150	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	4.6284237883442714e-06		YES	CATALOG_ONLY_UNIQUE
168	AT2016cvv	614	AT2016cvv	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.7422871487760005e-06		YES	CATALOG_ONLY_UNIQUE
169	2005ku	615	2005ku	5	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	2.6553601544521133e-06		YES	CATALOG_ONLY_UNIQUE
170	1992bh	616	1992bh	50	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.8521130925627265e-06		YES	CATALOG_ONLY_UNIQUE
171	PSNJ1204051	620	PSNJ1204051	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.8146609413203247e-06		YES	CATALOG_ONLY_UNIQUE
172	2005hc	621	2005hc	64	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.2912291270789078e-06		YES	CATALOG_ONLY_UNIQUE
173	2005hc	622	2005hc	5	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.4657892974806463e-06		YES	CATALOG_ONLY_UNIQUE
174	2008050	625	2008050	65	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.4831354953089875e-06		YES	CATALOG_ONLY_UNIQUE
175	2005lz	627	2005lz	64	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	8.6510185515198401e-08		YES	CATALOG_ONLY_UNIQUE
176	360156	628	360156	15	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.2723218476592439e-06		YES	CATALOG_ONLY_UNIQUE
177	2008cf	630	2008cf	5	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.4056242891332698e-07		YES	CATALOG_ONLY_UNIQUE
178	2008cf	631	2008cf	65	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.5834111333242777e-06		YES	CATALOG_ONLY_UNIQUE
179	AT2017yk	632	AT2017yk	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	7.7495065420318809e-08		YES	CATALOG_ONLY_UNIQUE
180	PS16fa	634	PS16fa	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.9481479768576087e-06		YES	CATALOG_ONLY_UNIQUE
181	PS15aii	635	PS15aii	150	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.9497736208906602e-06		YES	CATALOG_ONLY_UNIQUE
182	PS17akj	636	PS17akj	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	5.8306648134665018e-07		YES	CATALOG_ONLY_UNIQUE
183	ASASSN-15pm	638	ASASSN-15pm	150	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	3.6762762496700407e-07		YES	CATALOG_ONLY_UNIQUE
184	1995ac	639	1995ac	61	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.0308316749670947e-07		YES	CATALOG_ONLY_UNIQUE
185	PS16el	642	PS16el	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.2811555842070526e-07		YES	CATALOG_ONLY_UNIQUE
186	2006cq	643	2006cq	64	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.1316581270136581e-06		YES	CATALOG_ONLY_UNIQUE
187	PS15asb	645	PS15asb	150	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.4998585914360874e-06		YES	CATALOG_ONLY_UNIQUE
188	PS16dnp	647	PS16dnp	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	9.4853510806958141e-07		YES	CATALOG_ONLY_UNIQUE
189	2007kh	648	2007kh	65	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	2.049497942469003e-07		YES	CATALOG_ONLY_UNIQUE
190	PS16fbb	653	PS16fbb	150	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	4.2662396557147098e-06		YES	CATALOG_ONLY_UNIQUE
191	ASASSN-16hc	655	ASASSN-16hc	150	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	4.8458077585022963e-06		YES	CATALOG_ONLY_UNIQUE
192	2006ot	657	2006ot	5	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.0726426218384848e-06		YES	CATALOG_ONLY_UNIQUE
193	AT2016htn	659	AT2016htn	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.9053349726879691e-06		YES	CATALOG_ONLY_UNIQUE
194	PS16evk	660	PS16evk	150	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.8860608338474609e-06		YES	CATALOG_ONLY_UNIQUE
195	2010dt	662	2010dt	66	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.0236985450609053e-06		YES	CATALOG_ONLY_UNIQUE
196	2006lu	663	2006lu	5	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	6.0752860381318996e-08		YES	CATALOG_ONLY_UNIQUE
197	PS16ayd	665	PS16ayd	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.8643935842685995e-06		YES	CATALOG_ONLY_UNIQUE
198	490007	667	490007	15	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.0643449233379592e-06		YES	CATALOG_ONLY_UNIQUE
199	PS16aer	670	PS16aer	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.7429940869814224e-06		YES	CATALOG_ONLY_UNIQUE
200	2005hj	671	2005hj	5	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	8.0775707782254624e-07		YES	CATALOG_ONLY_UNIQUE
201	2008eq	672	2008eq	51	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	1.5341157570403219e-06		YES	CATALOG_ONLY_UNIQUE
202	SN2016gmb	675	SN2016gmb	150	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	1.3654022453235548e-06		YES	CATALOG_ONLY_UNIQUE
203	2001ah	676	2001ah	63	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	9.5503483182879378e-07		YES	CATALOG_ONLY_UNIQUE
204	2008bz	680	2008bz	5	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.694604186032068e-07		YES	CATALOG_ONLY_UNIQUE
205	2008bz	681	2008bz	65	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	1.5152996862555224e-06		YES	CATALOG_ONLY_UNIQUE
206	2006oa	685	2006oa	64	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	6.5157901388279704e-07		YES	CATALOG_ONLY_UNIQUE
207	1992bs	686	1992bs	50	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.0500416650102178e-06		YES	CATALOG_ONLY_UNIQUE
208	2007ae	689	2007ae	64	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.0775822546087452e-06		YES	CATALOG_ONLY_UNIQUE
209	PS15cms	690	PS15cms	150	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	4.466680352005481e-06		YES	CATALOG_ONLY_UNIQUE
210	6057	691	6057	1	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.9538461716069904e-07		YES	CATALOG_ONLY_UNIQUE
211	SN2016ixf	692	SN2016ixf	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.4058699341376073e-06		YES	CATALOG_ONLY_UNIQUE
212	1993B	698	1993B	50	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	3.5608622149796432e-06		YES	CATALOG_ONLY_UNIQUE
213	2008Y	699	2008Y	51	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.0186461954507795e-06		YES	CATALOG_ONLY_UNIQUE
214	2008Y	700	2008Y	65	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	1.6109714401357778e-07		YES	CATALOG_ONLY_UNIQUE
215	PS15bwh	707	PS15bwh	150	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	4.5996386175001236e-06		YES	CATALOG_ONLY_UNIQUE
216	Gaia16aki	712	Gaia16aki	150	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	3.9969282990270916e-07		YES	CATALOG_ONLY_UNIQUE
217	PS17bii	714	PS17bii	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.0125180332786208e-06		YES	CATALOG_ONLY_UNIQUE
218	2005ir	716	2005ir	5	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	2.2743606236108604e-06		YES	CATALOG_ONLY_UNIQUE
219	370333	719	370333	15	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.4753856454072807e-06		YES	CATALOG_ONLY_UNIQUE
220	2007hx	723	2007hx	5	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.6792393850459959e-06		YES	CATALOG_ONLY_UNIQUE
221	560033	724	560033	15	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.3765264446095067e-06		YES	CATALOG_ONLY_UNIQUE
222	12779	725	12779	1	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	3.4841332955393156e-06		YES	CATALOG_ONLY_UNIQUE
223	PS15bzz	726	PS15bzz	150	CATALOG_ONLY_UNIQUE	0	0	0	NO	2.9369710571741647e-06		YES	CATALOG_ONLY_UNIQUE
224	350316	727	350316	15	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.021709820555385e-06		YES	CATALOG_ONLY_UNIQUE
225	2005ag	728	2005ag	5	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	9.1114666311842285e-08		YES	CATALOG_ONLY_UNIQUE
226	12950	729	12950	1	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	3.9407278163150483e-06		YES	CATALOG_ONLY_UNIQUE
227	SN2016glp	733	SN2016glp	150	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	1.3199374036265699e-06		YES	CATALOG_ONLY_UNIQUE
228	3592	734	3592	1	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	2.6766449760795563e-07		YES	CATALOG_ONLY_UNIQUE
229	SN2016grz	735	SN2016grz	150	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	7.0672120341952471e-07		YES	CATALOG_ONLY_UNIQUE
230	1241	736	1241	1	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.1053224143197102e-06		YES	CATALOG_ONLY_UNIQUE
231	590194	737	590194	15	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	1.2602825935070783e-06		YES	CATALOG_ONLY_UNIQUE
232	370066	738	370066	15	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.5077286323625945e-06		YES	CATALOG_ONLY_UNIQUE
233	300105	739	300105	15	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	4.3172407190594786e-06		YES	CATALOG_ONLY_UNIQUE
234	iPTF17dz	740	iPTF17dz	150	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	2.4911031126784167e-08		YES	CATALOG_ONLY_UNIQUE
235	160099	742	160099	15	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.589174352766622e-06		YES	CATALOG_ONLY_UNIQUE
236	000190	743	000190	15	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	4.8846817300440826e-06		YES	CATALOG_ONLY_UNIQUE
237	140181	744	140181	15	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.3350234260608467e-07		YES	CATALOG_ONLY_UNIQUE
238	18697	749	18697	1	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.1137834465299061e-06		YES	CATALOG_ONLY_UNIQUE
239	20625	750	20625	1	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	3.1340358732923068e-06		YES	CATALOG_ONLY_UNIQUE
240	21034	753	21034	1	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.5249810091932936e-06		YES	CATALOG_ONLY_UNIQUE
241	500038	754	500038	15	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	2.6276250358892028e-07		YES	CATALOG_ONLY_UNIQUE
242	020027	756	020027	15	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.1229009557764975e-06		YES	CATALOG_ONLY_UNIQUE
243	18650	757	18650	1	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	3.3819569451865039e-06		YES	CATALOG_ONLY_UNIQUE
244	18612	758	18612	1	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	2.9771636591569006e-06		YES	CATALOG_ONLY_UNIQUE
245	8719	759	8719	1	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	9.6670974447654601e-07		YES	CATALOG_ONLY_UNIQUE
246	5395	760	5395	1	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	4.7674754335425007e-06		YES	CATALOG_ONLY_UNIQUE
247	2561	761	2561	1	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.6668990860133643e-06		YES	CATALOG_ONLY_UNIQUE
248	490008	767	490008	15	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	3.6681192910892335e-07		YES	CATALOG_ONLY_UNIQUE
249	19953	768	19953	1	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	2.7817707834720817e-06		YES	CATALOG_ONLY_UNIQUE
250	16021	772	16021	1	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.8491333015654448e-06		YES	CATALOG_ONLY_UNIQUE
251	6406	775	6406	1	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	1.503150801912545e-06		YES	CATALOG_ONLY_UNIQUE
252	19543	776	19543	1	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.8941879106922936e-06		YES	CATALOG_ONLY_UNIQUE
253	13044	777	13044	1	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	8.7167389070663681e-08		YES	CATALOG_ONLY_UNIQUE
254	2992	779	2992	1	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.1954700358837194e-06		YES	CATALOG_ONLY_UNIQUE
255	744	781	744	1	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.5767950647949114e-06		YES	CATALOG_ONLY_UNIQUE
256	14871	782	14871	1	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	7.0323144975292795e-07		YES	CATALOG_ONLY_UNIQUE
257	18855	783	18855	1	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.5103578328875571e-06		YES	CATALOG_ONLY_UNIQUE
258	15508	791	15508	1	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	8.5277950075124398e-07		YES	CATALOG_ONLY_UNIQUE
259	15234	793	15234	1	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	4.5662347191166575e-06		YES	CATALOG_ONLY_UNIQUE
260	000014	794	000014	15	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.0421334438469607e-06		YES	CATALOG_ONLY_UNIQUE
261	17629	795	17629	1	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	4.3248001725670893e-06		YES	CATALOG_ONLY_UNIQUE
262	19775	796	19775	1	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	6.138723853965633e-07		YES	CATALOG_ONLY_UNIQUE
263	18602	797	18602	1	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.4755841764609894e-06		YES	CATALOG_ONLY_UNIQUE
264	17366	799	17366	1	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	2.271605197140536e-07		YES	CATALOG_ONLY_UNIQUE
265	15171	800	15171	1	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.3926084244833019e-06		YES	CATALOG_ONLY_UNIQUE
266	190340	801	190340	15	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.4734757625720647e-08		YES	CATALOG_ONLY_UNIQUE
267	20084	802	20084	1	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.9344729746961775e-06		YES	CATALOG_ONLY_UNIQUE
268	090275	805	090275	15	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	2.6807723752658719e-06		YES	CATALOG_ONLY_UNIQUE
269	1794	806	1794	1	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	1.0344786584293164e-06		YES	CATALOG_ONLY_UNIQUE
270	340229	808	340229	15	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.8465873256908765e-06		YES	CATALOG_ONLY_UNIQUE
271	2635	810	2635	1	CATALOG_ONLY_UNIQUE	0	0	0	NO	2.7736921494048161e-06		YES	CATALOG_ONLY_UNIQUE
272	17497	813	17497	1	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.2494894582881777e-06		YES	CATALOG_ONLY_UNIQUE
273	8921	814	8921	1	CATALOG_ONLY_UNIQUE	0	0	0	NO	1.4482615559030521e-06		YES	CATALOG_ONLY_UNIQUE
274	13796	819	13796	1	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	8.8308574434925458e-07		YES	CATALOG_ONLY_UNIQUE
275	14024	820	14024	1	CATALOG_ONLY_UNIQUE	0	0	0	NO	8.2045864804869417e-07		YES	CATALOG_ONLY_UNIQUE
276	180166	821	180166	15	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.1214946431417099e-06		YES	CATALOG_ONLY_UNIQUE
277	13736	825	13736	1	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	9.0594972490531944e-07		YES	CATALOG_ONLY_UNIQUE
