h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	candidate_path	source_directory	git_blob_sha1	bytes	sha256	raw_SURVEY	PHOTOMETRY_VERSION	FILTERS_header	VARLIST	NOBS	observation_count	used_filter_tokens	used_filter_token_count	active_list_status	parse_status	evidence_level	direct_final_measurement_ancestry
113	529	2005iq	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005iq.DAT	CfA3_DJ20	a144dcbc029b392893a0c3129d1b189e812c7695	5958	e1e00973c34b1d592de651fdf0b7b4ed6a861775cc01c6b35be70cd30e6ddaeb	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	67	67	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
114	530	2005iq	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005iq.DAT	CSPDR3_anthony	217af4b87774ab7527883422daddc4f9871e521b	10538	4a33b57941e55cb67440e2f75b29fd163996daa3e8ed021eaf5050e21cb64169	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	154	154	B;H;J;Y;g;i;m;r;u	9	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
120	537	2006gr	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006gr.dat	KAIT_DS15	70793df9c25eba03baf21bbb0daae09a94e369e4	4285	f7a151b949f816b775cfc53f74445f07cf2ef27718265776a9173b0fa30879b9	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	72	72	A;B;C;D	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
121	538	2006gr	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006gr.DAT	CfA3_DJ20	0ff383a204bcb6934596db29afb1e0dbb2263b50	10907	1770b213c2b4bb5b726aeedb09f7af3713f186c371bd76650b0958a37324b54a	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	129	129	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
135	561	2008hj	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT	CSPDR3_anthony	e3aeea808ea4e48e6814b4702b7cb2300906a1dc	8781	bd1de6b261704125153c7daf55a9c2628b795fcff53fa8253d758dcd8551297e	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	127	127	B;H;J;Y;g;i;n;r;u;y	10	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
136	562	2008hj	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008hj.dat	PS1_LOWZ_COMBINED_TEXT_DS17	83694c046aac050a5b3e6a2163b251c5edf4a9f5	1836	6cdc0d9c7143c4b1200f05ac67f8495f1e97e190717e3a77093741eccbe79813	PS1_LOWZ_COMBINED(CFA4p1)	CFA4	abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	16	16	l;m;n;o	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
139	570	2001eh	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2001eh.dat	KAIT_DS15	a4f64a002eebe4eaf6aab065f01526ffce15c27f	6651	6031f5d66ae3d96813e40f6859954fb20378b377fb865190028450205fa96110	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	116	116	A;B;C;D;e	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
140	571	2001eh	63	CFA3S	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT	CfA3_DJ20	b25e124b2e0434027bf6571f4307903ab0be9a3d	8034	b31ab0d4f1121ff34bbb4d1164fcc6452217a619b8d412264758797faaa8b61d	PS1_LOWZ_COMBINED(CFA3S)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	93	93	a;b;c;d;e	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
144	575	2007jg	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007jg.dat	LOSS	bd79fe8cd803b74695337afb45144a4a86743273	3805	c6ddb2607f3046aaf407175e44b5031e4f9abc464e934532c8c1105abc9e3320	KAIT	LOSS	ABCDEFGHIJKLMNOP	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	69	69	E;F;G;H;I;J;K;L	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
145	576	2007jg	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT	CSPDR3_anthony	d1a13a1733002d32c21d0b808cea0de36f46ecaa	7871	20d5be9f9ed65842a17ac2472ccec7be59a7ba5769c773dae78e031ec5434fc1	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	113	113	B;H;J;Y;g;i;n;r;u;y	10	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
147	580	2007O	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007O.dat	KAIT_DS15	7c9404d8fa9f3e0d371774d84bf4711929d5b27f	2271	0f1bd4f2303fc52ce27c4a7050b64c01dc6e45cf0c8938f315c49dfd8ee829bf	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	34	34	A;B;C;D	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
148	581	2007O	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT	CfA3_DJ20	100ed935eb04f260a03d99c46455729d868ed7a7	4986	b2b735372a425fe1c5a45cc48f35aa92df5afaf1decc770085854a2a694b4057	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	55	55	g;h;i;j	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
155	593	2003fa	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2003fa.dat	KAIT_DS15	575d235da3a9d3c600c0a506414bd1793939c91f	8404	f059869260875230ad311c0d996e4a979678f520b89cf911885f24634de1b0f2	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	150	150	A;B;C;D	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
156	594	2003fa	63	CFA3S	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT	CfA3_DJ20	789dd0dc816321c56b831b19502d330f0527e46b	7954	817a02656cd4743687b442ca777fc81ee7a5eddf5e6d9ce10dc469488f54de29	PS1_LOWZ_COMBINED(CFA3S)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	92	92	a;b;c;d;e	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
163	605	2007kk	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat	LOSS	d7466bd3efa6bf78e476ba3d0839bbf67bd464fe	4576	0f7fb8dd02c00e6edc4405dbb63fbd88af750ea9539557d7604efdc02e0b2423	KAIT	LOSS	ABCDEFGHIJKLMNOP	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	85	85	E;F;G;H;I;J;K;L	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
164	606	2007kk	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	PS1_LOWZ_COMBINED_TEXT_DS17	eac72482e9ae4b09fd0a8f5cc5a43923e5b96f65	10356	53b76c370e2be537574982b2628dfd1dcb4d0bc96124d472da6bfc3f1ebad4a2	PS1_LOWZ_COMBINED(CFA4p1)	CFA4	abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	123	123	l;m;n;o	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
172	621	2005hc	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005hc.DAT	CfA3_DJ20	e17df52dae934ee1b3d2606a38208f573b61a8d2	9472	935cbaa80291c801b3f71822027289084e2400ce45c0d8a06ad8abe2c8e835f5	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	111	111	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
173	622	2005hc	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005hc.DAT	CSPDR3_anthony	23a1052db3a092661978be885b91bf6ced950f54	11121	b13f82a3b94a665b9054b60ac3c0f8e1f01128da86d52285c75e4e032c0330fb	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	163	163	B;H;J;Y;g;i;m;r;u	9	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
177	630	2008cf	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT	CSPDR3_anthony	0ace2b20455ea785f0e1f8535c7e450028cff54e	6758	1b454580ee2ed6de40ba6e66f3797ed5021eb247d6878e075e6015c781664b8f	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	96	96	B;H;J;Y;g;i;n;r;u;y	10	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
178	631	2008cf	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008cf.dat	PS1_LOWZ_COMBINED_TEXT_DS17	c31ac48a1b3613f762e8a2a4109dfd5361ec704c	3024	f7513ddc199641fab4b0ad65d9c1f446d1094a4e9efaa2580cdaecd075fe068c	PS1_LOWZ_COMBINED(CFA4p1)	CFA4	abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	31	31	l;m;n;o	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
204	680	2008bz	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT	CSPDR3_anthony	0f42bac3ecee8c3866e2405611e53b5b8eea1978	5073	646320fec71072f58670d0439e3f525fa569a2f7e1247460b024035c65bd9a1e	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	70	70	B;g;i;n;r;u	6	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
205	681	2008bz	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008bz.dat	PS1_LOWZ_COMBINED_TEXT_DS17	4f39b2e479a9faded7a72324bdcbe9a6251368ed	3971	df4ba44e7f7b064fe577674a33d2f57cfb64e8116f548bf0451372e221f3d5e2	PS1_LOWZ_COMBINED(CFA4p1)	CFA4	abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	43	43	l;m;n;o	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
213	699	2008Y	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat	LOSS	4cae28aec074f330b75f6b840e40d65b1930b8b2	1500	bc6ef8fb1b8c5652dbb1962e60610d9c6648d7c4451583605f03b6529a8c6257	KAIT	LOSS	ABCDEFGHIJKLMNOP	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	22	22	E;F;G;H;I;J;K;L	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
214	700	2008Y	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008Y.dat	PS1_LOWZ_COMBINED_TEXT_DS17	9bc7b316f4b499c971368a2fb581f3488a7abb74	5797	3eef31c4cf82481e0fc7d8424b35a90ce5349b81de212bedcb8f9e8e348b3bd9	PS1_LOWZ_COMBINED(CFA4p1)	CFA4	abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	66	66	l;m;n;o	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
